time,.data
2024/06/03/16:10:19.132739,37
2024/06/03/16:10:19.147873,37
2024/06/03/16:10:19.166971,37
2024/06/03/16:10:19.182092,37
2024/06/03/16:10:19.199118,37
2024/06/03/16:10:19.215292,37
2024/06/03/16:10:19.230100,37
2024/06/03/16:10:19.248470,37
2024/06/03/16:10:19.265958,37
2024/06/03/16:10:19.280385,37
2024/06/03/16:10:19.298994,37
2024/06/03/16:10:19.315595,36
2024/06/03/16:10:19.332884,36
2024/06/03/16:10:19.349459,36
2024/06/03/16:10:19.365078,36
2024/06/03/16:10:19.382314,36
2024/06/03/16:10:19.399977,36
2024/06/03/16:10:19.415956,36
2024/06/03/16:10:19.433312,36
2024/06/03/16:10:19.449380,36
2024/06/03/16:10:19.466092,36
2024/06/03/16:10:19.482677,36
2024/06/03/16:10:19.499138,36
2024/06/03/16:10:19.516199,36
2024/06/03/16:10:19.532933,36
2024/06/03/16:10:19.550246,36
2024/06/03/16:10:19.565818,36
2024/06/03/16:10:19.583038,36
2024/06/03/16:10:19.599339,36
2024/06/03/16:10:19.617546,36
2024/06/03/16:10:19.631509,36
2024/06/03/16:10:19.649924,36
2024/06/03/16:10:19.670175,36
2024/06/03/16:10:19.688555,36
2024/06/03/16:10:19.698915,35
2024/06/03/16:10:19.714901,35
2024/06/03/16:10:19.730347,35
2024/06/03/16:10:19.748974,35
2024/06/03/16:10:19.764873,35
2024/06/03/16:10:19.782296,35
2024/06/03/16:10:19.799043,35
2024/06/03/16:10:19.817327,35
2024/06/03/16:10:19.832027,35
2024/06/03/16:10:19.848983,35
2024/06/03/16:10:19.864805,35
2024/06/03/16:10:19.882117,35
2024/06/03/16:10:19.898274,35
2024/06/03/16:10:19.915328,35
2024/06/03/16:10:19.931227,35
2024/06/03/16:10:19.948658,35
2024/06/03/16:10:19.965647,35
2024/06/03/16:10:19.982139,35
2024/06/03/16:10:19.998887,35
2024/06/03/16:10:20.015092,35
2024/06/03/16:10:20.031196,35
2024/06/03/16:10:20.048683,35
2024/06/03/16:10:20.065171,35
2024/06/03/16:10:20.082887,35
2024/06/03/16:10:20.099283,35
2024/06/03/16:10:20.115116,35
2024/06/03/16:10:20.132685,35
2024/06/03/16:10:20.149306,35
2024/06/03/16:10:20.165438,35
2024/06/03/16:10:20.183675,35
2024/06/03/16:10:20.199452,35
2024/06/03/16:10:20.216840,35
2024/06/03/16:10:20.230830,35
2024/06/03/16:10:20.249182,35
2024/06/03/16:10:20.266412,35
2024/06/03/16:10:20.282549,35
2024/06/03/16:10:20.301304,35
2024/06/03/16:10:20.316674,35
2024/06/03/16:10:20.333272,35
2024/06/03/16:10:20.350730,35
2024/06/03/16:10:20.365910,35
2024/06/03/16:10:20.381991,35
2024/06/03/16:10:20.399297,35
2024/06/03/16:10:20.415895,35
2024/06/03/16:10:20.431553,35
2024/06/03/16:10:20.450794,35
2024/06/03/16:10:20.465803,35
2024/06/03/16:10:20.482375,35
2024/06/03/16:10:20.499367,35
2024/06/03/16:10:20.515797,35
2024/06/03/16:10:20.532538,35
2024/06/03/16:10:20.548147,35
2024/06/03/16:10:20.566264,35
2024/06/03/16:10:20.582118,35
2024/06/03/16:10:20.599466,35
2024/06/03/16:10:20.615652,35
2024/06/03/16:10:20.632612,35
2024/06/03/16:10:20.650224,35
2024/06/03/16:10:20.666235,35
2024/06/03/16:10:20.685695,35
2024/06/03/16:10:20.699080,35
2024/06/03/16:10:20.714863,35
2024/06/03/16:10:20.730574,35
2024/06/03/16:10:20.748920,35
2024/06/03/16:10:20.765555,35
2024/06/03/16:10:20.781226,35
2024/06/03/16:10:20.799059,35
2024/06/03/16:10:20.814471,35
2024/06/03/16:10:20.832418,35
2024/06/03/16:10:20.849046,35
2024/06/03/16:10:20.866037,35
2024/06/03/16:10:20.881881,35
2024/06/03/16:10:20.897121,35
2024/06/03/16:10:20.915661,35
2024/06/03/16:10:20.932771,35
2024/06/03/16:10:20.949309,35
2024/06/03/16:10:20.965369,35
2024/06/03/16:10:20.982283,35
2024/06/03/16:10:20.999292,34
2024/06/03/16:10:21.016473,34
2024/06/03/16:10:21.035792,34
2024/06/03/16:10:21.049277,34
2024/06/03/16:10:21.065249,34
2024/06/03/16:10:21.085147,34
2024/06/03/16:10:21.099339,34
2024/06/03/16:10:21.116729,34
2024/06/03/16:10:21.133873,34
2024/06/03/16:10:21.149518,34
2024/06/03/16:10:21.166243,33
2024/06/03/16:10:21.182805,32
2024/06/03/16:10:21.198451,32
2024/06/03/16:10:21.215266,31
2024/06/03/16:10:21.230942,31
2024/06/03/16:10:21.249190,31
2024/06/03/16:10:21.265290,30
2024/06/03/16:10:21.281680,30
2024/06/03/16:10:21.298461,30
2024/06/03/16:10:21.315601,30
2024/06/03/16:10:21.331579,30
2024/06/03/16:10:21.348484,30
2024/06/03/16:10:21.365120,30
2024/06/03/16:10:21.381422,30
2024/06/03/16:10:21.399247,30
2024/06/03/16:10:21.414728,30
2024/06/03/16:10:21.429980,30
2024/06/03/16:10:21.448776,30
2024/06/03/16:10:21.466392,30
2024/06/03/16:10:21.482048,30
2024/06/03/16:10:21.498164,30
2024/06/03/16:10:21.514977,30
2024/06/03/16:10:21.532067,30
2024/06/03/16:10:21.549226,30
2024/06/03/16:10:21.564817,30
2024/06/03/16:10:21.582786,30
2024/06/03/16:10:21.598093,29
2024/06/03/16:10:21.616071,28
2024/06/03/16:10:21.632683,28
2024/06/03/16:10:21.649118,27
2024/06/03/16:10:21.666144,26
